SubjectID	__id__	timestamp	x	y	z	Clase
40	yRNjcCNvHM4gGcoB3Au6	2024-11-22T12:05:26.538380	-0.577711284	4.79846859	9.08346653	0
41	ykC29c5DOsLrJklZrXXM	2024-11-22T12:05:24.553957	-2.342372179	4.470137119	9.447999001	0
42	02rGiUZZe4lmqLpsb8hs	2024-11-22T12:03:19.084841	-3.017967701	4.846965313	10.54069328	0
43	48AaZTRFvwj4XXAVW7vK	2024-11-22T12:03:20.077866	-2.945643902	4.648879051	11.36946106	0
44	4H7kaAwZzgmTdjFXoouZ	2024-11-22T12:03:21.467117	-2.123292923	4.896199703	6.425970078	0
45	4truCVfekGo42iwLjVOu	2024-11-22T12:03:21.268982	-2.403654099	3.15982914	7.652740002	0
46	6F61EyTiYZxG3KgZKQJn	2024-11-22T12:03:17.297751	-2.02697897	3.985378742	8.991539001	0
47	6NjocrAMog57p2IQ3wZd	2024-11-22T12:03:22.659042	-0.726812601	4.532271385	10.14745045	0
48	7tXO6VTMRT4bbPl538G8	2024-11-22T12:03:19.482408	-0.139783069	4.237842083	7.688557625	0
49	7xNLKOm9AJ45WyBie1nF	2024-11-22T12:03:16.901215	-1.351153374	4.275067329	7.346617699	0
50	9RMc95Od8VR0GLPRbKH9	2024-11-22T12:03:17.101136	-2.877217531	4.139335632	9.164074898	0
51	9ZVEHaQc40Ce1EJ99d36	2024-11-22T12:03:26.034565	-1.969288349	4.963562965	8.829403877	0
52	9v9Ks9xAYIj6TU8ZpSDO	2024-11-22T12:03:24.643845	-0.546682417	4.686965942	10.48112583	0
53	D5l1xCDmJBHJKxJXZKJE	2024-11-22T12:03:18.687399	0.159884796	3.406853199	9.468953133	0
54	DyNaFP2F2ZQFcXr1gojW	2024-11-22T12:03:25.437815	-0.987914681	5.923992157	7.641132832	0
55	GxNmdC3zvTwc3jPRX0fh	2024-11-22T12:03:22.062394	-5.086529255	6.947800636	10.35997868	0
